date,painting_author,painting_genre,painting_wiki,painting_name,song_title,song_description,song_artist,song_writers,song_released,saying_text,saying_explanation,UNESCO_site_name,UNESCO_site_description,UNESCO_site_country,international_day,color_name,color_hex,color_link,plant_name,discovery,philosophical_concept_name,philosophical_concept_url
2024-07-17,Andrei Rublev,Byzantine Art,http://en.wikipedia.org/wiki/Andrei_Rublev,Andrei_Rublev_2.jpg,Earth Angel,"Crudely recorded in a garage and released on a small label, ""Earth Angel"" turned out to be a pivotal record in the early development of rock & roll. The artless, unaffected vocals of the Penguins, four black high schoolers from L.A., defined the street-corner elegance of doo-wop. The Penguins' version also outsold a sanitized, big-label cover by schmaltzy white group the Crew-Cuts.",The Penguins,"Jesse Belvin, Curtis Williams","Dec, 1954",Asap - As soon as possible,Literal meaning.,Rangiri Dambulla Cave Temple,"<p>A sacred pilgrimage site for 22 centuries, this cave monastery, with its five sanctuaries, is the largest, best-preserved cave-temple complex in Sri Lanka. The Buddhist mural paintings (covering an area of 2,100 m<sup>2</sup> ) are of particular importance, as are the 157 statues.</p>",Sri Lanka,,Violet (crayola),#963D7F,https://en.wikipedia.org/wiki/Shades_of_violet#Violet_(crayola),eytelia,1761: Mikhail Lomonosov: discovery of the atmosphere of Venus.,Magnificence,https://en.wikipedia.org/wiki/Magnificence_(History_of_ideas)
2024-07-18,Edgar Degas,Impressionism,http://en.wikipedia.org/wiki/Edgar_Degas,Edgar_Degas_2.jpg,Eight Miles High,"A rare collaboration between three Byrds, it was supposedly about an airplane flight. McGuinn's 12-string solo was inspired by John Coltrane's sax playing and Rod Argent's piano on the Zombies' ""She's Not There."" ""Of course it was a drug song,"" Crosby said. ""We were stoned when we wrote it. But it was also about the [plane] trip to London.""",The Byrds,"Gene Clark, Roger McGuinn, David Crosby","April, 1966",The heebie-jeebies,"A feeling of anxiety, apprehension or illness.",Pont du Gard (Roman Aqueduct),"The Pont du Gard was built shortly before the Christian era to allow the aqueduct of Nîmes (which is almost 50 km long) to cross the Gard river. The Roman architects and hydraulic engineers who designed this bridge, which stands almost 50 m high and is on three levels – the longest measuring 275 m – created a technical as well as an artistic masterpiece.",France,Nelson Mandela International Day,Imperial red,#ED2939,https://en.wikipedia.org/wiki/Shades_of_red#Imperial_red,silver maple,1610: Galileo Galilei: Sidereus Nuncius: telescopic observations.,Ontology,https://en.wikipedia.org/wiki/Ontology
2024-07-19,Vasiliy Kandinskiy,"Expressionism,Abstractionism",http://en.wikipedia.org/wiki/Wassily_Kandinsky,Vasiliy_Kandinskiy_7.jpg,Hot Fun in the Summertime,"Summer was already under way when Stone handed in this heavenly soul ballad to Epic, which was wary of releasing a summer song in August Ã¢ÂÂ but it was a smash anyway. The single came out just before the Family Stone performed at Woodstock Ã¢ÂÂ they were the first band to sign up for the historic festival. Michael Jackson later bought the rights to the song.",Sly and the Family Stone,Sly Stone,"Aug, 1969",Spill the beans,"To divulge a secret, especially to do so inadvertently or maliciously. ","Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System","<p>The Upper Harz mining water management system, which lies south of the Rammelsberg mines and the town of Goslar, has been developed over a period of some 800 years to assist in the process of extracting ore for the production of non-ferrous metals. Its construction was first undertaken in the Middle Ages by Cistercian monks, and it was then developed on a vast scale from the end of the 16th century until the 19th century. It is made up of an extremely complex but perfectly coherent system of artificial ponds, small channels, tunnels and underground drains. It enabled the development of water power for use in mining and metallurgical processes. It is a major site for mining innovation in the western world.</p>",Germany,,Rosewood,#65000B,https://en.wikipedia.org/wiki/Rose_(color)#Rosewood,striped alder,300 BC: Euclid discovers the Euclidean algorithm.,Desiring-production,https://en.wikipedia.org/wiki/Desiring-production
2024-07-20,William Turner,Romanticism,https://en.wikipedia.org/wiki/J._M._W._Turner,William_Turner_8.jpg,The Night They Drove Old Dixie Down,"Robertson, a Canadian, vividly depicted the Civil War-era South in this moving dirge. ""I remember taking him to the library so he could research the history and geography,"" said Levon Helm, the Band's only American, whose gritty vocal evoked the interior struggle of someone trying to make sense of a lost cause Ã¢ÂÂ like, in 1969, the war in Vietnam.",The Band,Robbie Robertson,"Sept, 1969",Lark about,"Play the fool, in a childish or careless manner.",Historic Centre of Macao,"<p>Macao, a lucrative port of strategic importance in the development of international trade, was under Portuguese administration from the mid-16th century until 1999, when it came under Chinese sovereignty. With its historic street, residential, religious and public Portuguese and Chinese buildings, the historic centre of Macao provides a unique testimony to the meeting of aesthetic, cultural, architectural and technological influences from East and West. The site also contains a fortress and a lighthouse, the oldest in China. It bears witness to one of the earliest and longest-lasting encounters between China and the West, based on the vibrancy of international trade.</p>",China,"International Moon Day, World Chess Day",French fuchsia,#FD3F92,https://en.wikipedia.org/wiki/Fuchsia_(color)#French_fuchsia,pin oak,499: Aryabhata develops an algorithm to solve the Chinese remainder theorem.,Obligation,https://en.wikipedia.org/wiki/Obligation
2024-07-21,Camille Pissarro,"Impressionism,Post-Impressionism",https://en.wikipedia.org/wiki/Camille_Pissarro,Camille_Pissarro_4.jpg,(Your Love Keeps Lifting Me) Higher and Higher,"At first, he sang it like a ballad. But Wilson hit the right gallop after producer Davis told him ""to jump and go along with the percussion."" Motown bassist James Jamerson played down below, along with several other moonlighting members of the Funk Brothers band.",Jackie Wilson,"Gary Jackson, Raynard Miner, Carl Smith","Aug, 1967",Say cheese,"A photographer's instruction just before taking a picture, in order to make people smile.",<i>Aflaj</i> Irrigation Systems of Oman,"<p>The property includes five <em>aflaj</em> irrigation systems and is representative of some 3,000 such systems still in use in Oman. The origins of this system of irrigation may date back to AD 500, but archaeological evidence suggests that irrigation systems existed in this extremely arid area as early as 2500 BC. Using gravity, water is channelled from underground sources or springs to support agriculture and domestic use. The fair and effective management and sharing of water in villages and towns is still underpinned by mutual dependence and communal values and guided by astronomical observations. Numerous watchtowers built to defend the water systems form part of the site reflecting the historic dependence of communities on the <em>aflaj</em> system. Threatened by falling level of the underground water table, the <em>aflaj</em> represent an exceptionally well-preserved form of land use.</p>",Oman,,Red (RYB),#FE2712,https://en.wikipedia.org/wiki/RYB_color_model,walnut,2000: The Tau neutrino is discovered by the DONUT collaboration,Marx's theory of alienation,https://en.wikipedia.org/wiki/Marx%27s_theory_of_alienation
2024-07-22,Gustave Courbet,Realism,https://en.wikipedia.org/wiki/Gustave_Courbet,Gustave_Courbet_7.jpg,Gimme Some Lovin,"Teenage singer Steve Winwood provided the impossibly raw vocals. ""Steve had been singing, 'Gimme some lovin',' just yelling anything,"" said bassist-brother Muff. ""It took about an hour to write, then down the pub for lunch.""",The Spencer Davis Group,"Davis, Steve Winwood, Muff Winwood","Dec, 1966",Truth is stranger than fiction,Literal meaning. ,Historic Centre of Camagüey,"<p>One of the first seven villages founded by the Spaniards in Cuba, Camag&uuml;ey played a prominent role as the urban centre of an inland territory dedicated to cattle breeding and the sugar industry. Settled in its current location in 1528, the town developed on the basis of an irregular urban pattern that contains a system of large and minor squares, serpentine streets, alleys and irregular urban blocks, highly exceptional for Latin American colonial towns located in plain territories. The 54 ha Historic Centre of Camag&uuml;ey constitutes an exceptional example of a traditional urban settlement relatively isolated from main trade routes. The Spanish colonizers followed medieval European influences in terms of urban layout and traditional construction techniques brought to the Americas by their masons and construction masters. The property reflects the influence of numerous styles through the ages: neoclassical, eclectic, Art Deco, Neo-colonial as well as some Art Nouveau and rationalism.</p>",Cuba,,Copper rose,#996666,https://en.wikipedia.org/wiki/Copper_(color)#Copper_rose,field sow thistle,1500: Nilakantha Somayaji discovers an infinite series for π.,Beauty,https://en.wikipedia.org/wiki/Beauty
2024-07-23,Sandro Botticelli,Early Renaissance,http://en.wikipedia.org/wiki/Sandro_Botticelli,Sandro_Botticelli_5.jpg,Love Shack,"The B-52's had few reasons to party in 1989: Guitarist Ricky Wilson had died; their previous album had flopped. But with production by dance-rock master Don Was, they slapped smiles and Dixie New Wave glitter all over this bouncing beauty.",The B-52's,"Kate Pierson, Fred Schneider, Keith Strickland, Cindy Wilson","June , 1989",Let not poor Nelly starve,NO INFORMATION,Ancient City of Qalhat,"<p>The property, which is located on the east coast of the Sultanate of Oman, includes the ancient city of Qalhat, surrounded by inner and outer walls, as well as areas beyond the ramparts where necropolises are located. The city developed as a major port on the east coast of Arabia between the 11th and 15th centuries CE, during the reign of the Hormuz princes. The Ancient City bears unique archaeological testimony to the trade links between the east coast of Arabia, East Africa, India, China and South-East Asia.</p>",Oman,,Orange peel,#FF9F00,https://en.wikipedia.org/wiki/Orange_peel_(color),spiny leaved sow thistle,15th century: Parameshvara discovers a formula for the circumradius of a quadrilateral.,Common good,https://en.wikipedia.org/wiki/Common_good
2024-07-24,Piet Mondrian,Neoplasticism,https://en.wikipedia.org/wiki/Piet_Mondrian,Piet_Mondrian_1.jpg,Rocket Man,"A perfect song for the age of moonwalks, this star trek was the elegiac tale of an astronaut lost in space, light-years from home. Taupin wrote it on the way to visiting his own family. ""I got inside,"" he said, ""and had to rush to write it all down before I'd forgotten it."" Taupin was accused of ripping off Bowie's ""Space Oddity,"" but he was actually thinking of ""Rocket Man,"" by acid-folkies Pearls Before Swine.",Elton John,"John, Bernie Taupin","May, 1972",All at sea,In a state of confusion and disorder. ,Kilimanjaro National Park,"<p>At 5,895 m, Kilimanjaro is the highest point in Africa. This volcanic massif stands in splendid isolation above the surrounding plains, with its snowy peak looming over the savannah. The mountain is encircled by mountain forest. Numerous mammals, many of them endangered species, live in the park.</p>",United Republic of Tanzania,,English violet,#563C5C,https://en.wikipedia.org/wiki/Shades_of_violet#English_violet,true cinnamon,1665: Philosophical Transactions of the Royal Society: first peer reviewed scientific journal published.,Virtual,https://en.wikipedia.org/wiki/Virtual_(philosophy)
2024-07-25,Albrecht Dürer,Northern Renaissance,http://en.wikipedia.org/wiki/Albrecht_Dürer,Albrecht_Dürer_1.jpg,Stand!,"The title song from Stone's classic black-rock LP became a civil rights anthem. But when a test pressing got a muted reaction on San Francisco radio, Stone added the funky coda, played by what his A&R man Stephen Paley called ""old-men horn players,"" since the Family was unavailable. ""He wrote out parts for the horn players and even passed out W-4 forms,"" said Paley. ""He was that together.""",Sly and the Family Stone,Sly Stone,"April, 1969",Shut your cake-hole,Be quiet.,Bergpark Wilhelmshöhe,"<p>Descending a long hill dominated by a giant statue of Hercules, the monumental water displays of Wilhelmsh&ouml;he&nbsp;were begun by Landgrave Carl of Hesse-Kassel in 1689 around an east-west axis and were developed further into the 19th century. Reservoirs and channels behind the Hercules Monument supply water to a complex system of hydro-pneumatic devices that supply the site&rsquo;s large Baroque water theatre, grotto, fountains and 350-metre long Grand Cascade. Beyond this, channels and waterways wind across the axis, feeding a series of dramatic waterfalls and wild rapids, the geyser-like Grand Fountain which leaps 50m high, the lake and secluded ponds that enliven the Romantic garden created in the 18th century by Carl&rsquo;s great-grandson, Elector Wilhelm I. The great size of the park and its waterworks along with the towering Hercules statue constitute an expression of the ideals of absolutist Monarchy while the ensemble is a remarkable testimony to the aesthetics of the Baroque and Romantic periods.</p>",Germany,World Drowning Prevention Day,Red-violet (Color wheel),#922B3E,https://en.wikipedia.org/wiki/Red-violet#Red-violet,orange,11th century: Shen Kuo develops the field of geomorphology and natural climate change.,Possible world,https://en.wikipedia.org/wiki/Possible_world
2024-07-26,Eugene Delacroix,Romanticism,https://en.wikipedia.org/wiki/Eugène_Delacroix,Eugene_Delacroix_7.jpg,The Wanderer,"Dion DiMucci's trademark hit Ã¢ÂÂ originally the B side to a single called ""The Majestic,"" until DJs began flipping the record over Ã¢ÂÂ was a swaggering shuffle about a real-life hard-ass who wore tattoos of his girlfriends' names on his arms. ""You say to a chick, 'Stay away from that guy,'ÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ°"" Dion said in 1976, when ""The Wanderer"" was a Top 20 hit again in the U.K. ""And she would say, 'What guy?' Chicks loved a rebel.""",Dion,Ernie Maresca,"Dec, 1961",Phrases that people get wrong,Anyone learning English has a hard job on their hands. Lots of words don't sound the way you might expect from their spelling and lots of idiomatic phrases don't seem  to make much sense.,Shirakami-Sanchi,"<p>Situated in the mountains of northern Honshu, this trackless site includes the last virgin remains of the cool-temperate forest of Siebold's beech trees that once covered the hills and mountain slopes of northern Japan. The black bear, the serow and 87 species of birds can be found in this forest.</p>",Japan,,Super pink,#CF6BA9,https://en.wikipedia.org/wiki/Shades_of_pink#Super_pink,pocan bush,"1932: Karl Guthe Jansky discovers the first astronomical radio source, Sagittarius A",Truth,https://en.wikipedia.org/wiki/Truth
2024-07-27,Sandro Botticelli,Early Renaissance,http://en.wikipedia.org/wiki/Sandro_Botticelli,Sandro_Botticelli_4.jpg,Son of a Preacher Man,"Springfield was white and English but sang as if born with black American soul. In 1968, newly signed to Atlantic and under the tutelage of its star producer Wexler, she went to the mecca of Dixie R&B to record the gospel-tinged Dusty in Memphis. She ended up doing her vocals in New York, but no matter: Her deep, heated voice captured the carnal fire of the South",Dusty Springfield,"John Hurley, Ronnie Wilkins","Nov, 1968",Shoot through,"To abscond, or depart quickly.",Stoclet House,"<p>When banker and art collector Adolphe Stoclet commissioned this house from one of the leading architects of the Vienna Secession movement, Josef Hoffmann, in 1905, he imposed neither aesthetic nor financial restrictions on the project. The house and garden were completed in 1911 and their austere geometry marked a turning point in Art Nouveau, foreshadowing Art Deco and the Modern Movement in architecture. Stoclet House is one of the most accomplished and homogenous buildings of the Vienna Secession, and features works by Koloman Moser and Gustav Klimt, embodying the aspiration of creating a &lsquo;total work of art' (Gesamtkunstwerk). Bearing testimony to artistic renewal in European architecture, the house retains a high level of integrity, both externally and internally as it retains most of its original fixtures and furnishings.</p>",Belgium,,Royal purple,#7851A9,https://en.wikipedia.org/wiki/Shades_of_purple#Royal_purple:_17th_century,florida dogwood,1838: Matthias Schleiden: all plants are made of cells.,Paradox,https://en.wikipedia.org/wiki/Paradox
2024-07-28,Albrecht Dürer,Northern Renaissance,http://en.wikipedia.org/wiki/Albrecht_Dürer,Albrecht_Dürer_5.jpg,I Fall to Pieces,"Cline was reluctant to record this ballad, which had been turned down by Brenda Lee, until Bradley coaxed her into it. Seven months pregnant when she cut it, Cline belted the ending the first time through, but the magic happened when she dropped to her lower register on her second try.",Patsy Cline,Hank Cochran,"Jan, 1961",Go to pot,To go to pot is to become ruined; to go to pieces.,Central Sikhote-Alin,"<p>The Sikhote-Alin mountain range contains one of the richest and most unusual temperate forests of the world. In this mixed zone between taiga and subtropics, southern species such as the tiger and Himalayan bear cohabit with northern species such as the brown bear and lynx. After its extension in 2018, the property includes the Bikin River Valley, located about 100 km to the north of the existing site. It encompasses the South-Okhotsk dark coniferous forests and the East-Asian coniferous broadleaf forests. The fauna includes species of the taiga alongside southern Manchurian species. It includes notable mammals such as the Amur Tiger, Siberian Musk Deer, Wolverine and Sable.</p>",Russian Federation,World Hepatitis Day,Acid green,#B0BF1A,https://en.wikipedia.org/wiki/Acid_green,black birch,1058: al-Zarqālī in Islamic Spain discovers the apsidal precession of the Sun.,Brahman,https://en.wikipedia.org/wiki/Brahman
2024-07-29,Leonardo da Vinci,High Renaissance,http://en.wikipedia.org/wiki/Leonardo_da_Vinci,Leonardo_da_Vinci_4.jpg,Planet Rock,"""Can you play stuff like Kraftwerk?"" asked Bam, who played their records at DJ gigs. Baker worried about stealing the melody from ""Trans-Europe Express,"" but Robie said, ""I'll tear that shit up.""",Afrika Bambaataa and the Soul Sonic Force,"Bambaataa, John Robie, the Soul Sonic Force","July, 1982",Cut the mustard,To succeed; to come up to expectations.,Robben Island,"<p>Robben Island was used at various times between the 17th and 20th centuries as a prison, a hospital for socially unacceptable groups and a military base. Its buildings, particularly those of the late 20th century such as the maximum security prison for political prisoners, witness the triumph of democracy and freedom over oppression and racism.</p>",South Africa,,Spanish green,#009150,https://en.wikipedia.org/wiki/Shades_of_green#Spanish_green,sauce alone,"629: Bhāskara I produces the first approximation of a transcendental function with a rational function, in the sine approximation formula that bears his name.",Existential phenomenology,https://en.wikipedia.org/wiki/Existential_phenomenology
2024-07-30,Joan Miro,Surrealism,https://en.wikipedia.org/wiki/Joan_Miró,Joan_Miro_2.jpg,I Got a Woman,"Charles was riding through Indiana one night in 1954 with his musical director Richard when they began singing along to a gospel tune on the radio. ""Ray sang something like, 'I got a woman,'"" said Richard. ""I answered, 'Yeah, she lives across town.'"" He finished the song the next day, and Charles cut it at an Atlanta radio station Ã¢ÂÂ a session now recognized as the birth of soul.",Ray Charles,"Charles, Renald Richard","Nov, 1954",Rub of the green,Luck; especially in sports and pastimes played on a green surface.,Historic Centre (Old Town) of Tallinn,"<p>The origins of Tallinn date back to the 13th century, when a castle was built there by the crusading knights of the Teutonic Order. It developed as a major centre of the Hanseatic League, and its wealth is demonstrated by the opulence of the public buildings (the churches in particular) and the domestic architecture of the merchants' houses, which have survived to a remarkable degree despite the ravages of fire and war in the intervening centuries.</p>",Estonia,"International Day of Friendship, World Day against Trafficking in Persons",Sunset,#FAD6A5,https://en.wikipedia.org/wiki/Sunset_(color),dindle,1755: Immanuel Kant: Gaseous Hypothesis in Universal Natural History and Theory of Heaven.,All men are created equal,https://en.wikipedia.org/wiki/All_men_are_created_equal
2024-07-31,Paul Cezanne,Post-Impressionism,https://en.wikipedia.org/wiki/Paul_Cézanne,Paul_Cezanne_7.jpg,Everyday,"The flip side to ""Peggy Sue,"" ""Everyday"" features the celesta, a keyboard with a glockenspiel-like tone that Petty kept in his New Mexico studio. The percussion is drummer Jerry Allison keeping time by slapping his knees. For legal reasons, Holly changed his songwriting credit to Charles Hardin, his real first and middle names.",Buddy Holly and the Crickets,"Charles Hardin, Norman Petty","Sept, 1957",Shoddy,"Describing  inferior goods or workmanship, or disrespectful behaviour.",Taputapuātea,"Taputapuātea on Ra’iātea Island is at the centre of the ‘Polynesian Triangle’, a vast portion of the Pacific Ocean, dotted with islands, and the last part of the globe to be settled by humans. The property includes two forested valleys, a portion of lagoon and coral reef and a strip of open ocean. At the heart of the property is the Taputapuātea <em>marae</em> complex, a political, ceremonial and funerary centre. It is characterized by several marae, with different functions. Widespread in Polynesia, the <em>marae </em>were places where the world of the living intersected the world of the ancestors and the gods. Taputapuātea is an exceptional testimony to 1,000 years of <em>mā'ohi </em>civilization<em>.</em>",France,,Paradise pink,#E63E62,https://en.wikipedia.org/wiki/Shades_of_pink#Paradise_pink,baobab,"1763: Thomas Bayes: publishes the first version of Bayes' theorem, paving the way for Bayesian probability.",Perpetual peace,https://en.wikipedia.org/wiki/Perpetual_peace
2024-08-01,Paul Gauguin,"Symbolism,Post-Impressionism",http://en.wikipedia.org/wiki/Paul_Gauguin,Paul_Gauguin_7.jpg,Ill Feel a Whole Lot Better,"The Byrds championed the songs of Bob Dylan, who in turn praised the exotic balladry of Byrd Gene Clark. ""I remember him saying, 'Gene is really interesting to me,'"" said bassist Chris Hillman. Clark wrote this about a girlfriend from their days at the L.A. club Ciro's. ""She was a funny girl, and she started bothering me,"" he said. ""I wrote the whole song within a few minutes.""",The Byrds,Gene Clark,"June, 1965",Topsy-turvy,Upset; with the top where the bottom should be. ,Three Parallel Rivers of Yunnan Protected Areas,"<p>Consisting of eight geographical clusters of protected areas within the boundaries of the Three Parallel Rivers National Park, in the mountainous north-west of Yunnan Province, the 1.7 million hectare site features sections of the upper reaches of three of the great rivers of Asia: the Yangtze (Jinsha), Mekong and Salween run roughly parallel, north to south, through steep gorges which, in places, are 3,000 m deep and are bordered by glaciated peaks more than 6,000 m high. The site is an epicentre of Chinese biodiversity. It is also one of the richest temperate regions of the world in terms of biodiversity.</p>",China,World Breastfeeding Week (1-7 August),Indigo,#4B0082,https://en.wikipedia.org/wiki/Indigo,swamp spanish oak,2022: The first image from the James Webb Space Telescope is published.,Norm,https://en.wikipedia.org/wiki/Norm_(philosophy)
2024-08-02,Albrecht Dürer,Northern Renaissance,http://en.wikipedia.org/wiki/Albrecht_Dürer,Albrecht_Dürer_4.jpg,Paper Planes,"Maya Arulpragasam cheerfully threatens to steal your money, over a sample of the Clash's ""Straight to Hell."" The unlikely hit took off thanks to its inclusion in the Pineapple Express trailer. ""The other songs on the chart were Katy Perry and the Jonas Brothers,"" says M.I.A. ""Then you saw 'Paper Planes' and it's cool because there's hope: 'Thank God the future's here.'""",M.I.A.,"M.I.A., Diplo","Aug, 2007",Jimmy Riddle,Urinate. Jimmy Riddle = piddle.,Yakushima,"<p>Located in the interior of Yaku Island, at the meeting-point of the palaearctic and oriental biotic regions, Yakushima exhibits a rich flora, with some 1,900 species and subspecies, including ancient specimens of the sugi (Japanese cedar). It also contains a remnant of a warm-temperate ancient forest that is unique in this region.</p>",Japan,,Bright yellow (Crayola),#FFAA1D,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_&#39;n_Tails,swamp white oak,1480: Madhava of Sangamagrama found pi and that it was infinite.,Normative science,https://en.wikipedia.org/wiki/Normative_science
2024-08-03,Paul Cezanne,Post-Impressionism,https://en.wikipedia.org/wiki/Paul_Cézanne,Paul_Cezanne_5.jpg,We Gotta Get Out of This Place,"Born in the Brill Building song factory and originally intended for the Righteous Brothers, it got a harsh white-blues treatment from the Animals. As singer Eric Burdon put it, Ã¢ÂÂWhatever suited our attitude, we just bent to our own shape.Ã¢ÂÂ Its desperate intensity made the song a huge hit with U.S. soldiers in Vietnam and, a generation later, coalition forces in Iraq.",The Animals,"Barry Mann, Cynthia Weil","Aug. , 1965",Barking mad,Insane; intensely mad.,Franciscan Missions in the Sierra Gorda of Querétaro,"<p>The five Franciscan missions of Sierra Gorda were built during the last phase of the conversion to Christianity of the interior of Mexico in the mid-18th century and became an important reference for the continuation of the evangelization of California, Arizona and Texas. The richly decorated church fa&ccedil;ades are of special interest as they represent an example of the joint creative efforts of the missionaries and the Indios. The rural settlements that grew around the missions have retained their vernacular character.</p>",Mexico,,Parchment,#F1E9D2,https://en.wikipedia.org/wiki/Shades_of_white#Parchment,wild tansy,"700 BC: Pell's equations are first studied by Baudhayana in India, the first diophantine equations known to be studied.",Formal cause,https://en.wikipedia.org/wiki/Formal_cause
2024-08-04,Henri Rousseau,Primitivism,https://en.wikipedia.org/wiki/Henri_Rousseau,Henri_Rousseau_3.jpg,Only the Lonely,"Orbison intended to offer this song to either Elvis Presley (also a Sun Records alumnus) or the Everly Brothers, who had cut the Orbison song ""Claudette."" But Orbison's falsetto made the loneliness real. ""For a baritone to sing as high as I do,"" he said, ""is ridiculous.""",Roy Orbison,"Joe Melson, Orbison","May , 1960",Set one's cap at,Said of a woman who determines to gain the affections of a man.,Historic Centre of Sighişoara,"<p>Founded by German craftsmen and merchants known as the Saxons of Transylvania, Sighişoara is a fine example of a small, fortified medieval town which played an important strategic and commercial role on the fringes of central Europe for several centuries.</p>",Romania,,Glossy grape,#AB92B3,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,star of persia,2020: NASA launched the Perseverance rover and Ingenuity helicopter drone on 30 July 2020 as part of their Mars 2020 mission to search for signs of ancient life on Mars.,Biofact,https://en.wikipedia.org/wiki/Biofact_(philosophy)
2024-08-05,Amedeo Modigliani,Expressionism,http://en.wikipedia.org/wiki/Amedeo_Modigliani,Amedeo_Modigliani_1.jpg,Sexual Healing,"In April 1982 Gaye was living in exile in Brussels and suffering writer's block. ""I suggested that Marvin needed sexual healing,"" Ritz, his biographer, later wrote. Gaye put the idea to a reggae-style beat by sideman Brown. The result: Gaye's last Top Five hit.",Marvin Gaye,"Gaye, Odell Brown, David Ritz","Oct. , 1982","Hung, drawn and quartered","A gruesome form of torture and, eventually, death by execution.",Santiago de Compostela (Old Town),"<p>This famous pilgrimage site in north-west Spain became a symbol in the Spanish Christians' struggle against Islam. Destroyed by the Muslims at the end of the 10th century, it was completely rebuilt in the following century. With its Romanesque, Gothic and Baroque buildings, the Old Town of Santiago is one of the world's most beautiful urban areas. The oldest monuments are grouped around the tomb of St James and the cathedral, which contains the remarkable P&oacute;rtico de la Gloria.</p>",Spain,,Light cyan,#E0FFFF,https://en.wikipedia.org/wiki/Shades_of_cyan#Light_cyan,ash,"By the 4th century: A square root finding algorithm with quartic convergence, known as the Bakhshali method (after the Bakhshali manuscript which records it), is discovered in India.",Noumenon,https://en.wikipedia.org/wiki/Noumenon
2024-08-06,Diego Rivera,"Social Realism,Muralism",http://en.wikipedia.org/wiki/Diego_Rivera,Diego_Rivera_4.jpg,Just Like a Woman,"Dylan wrote this on Thanksgiving Day 1965 Ã¢ÂÂ three days after marrying Sara Lowndes Ã¢ÂÂ while on tour in Kansas City. His nonstop creative rush was taking a big toll. ""I don't consider myself outside of anything,"" he said at the time. ""I just consider myself not around."" He turned his torment into this song, allegedly inspired by his recently ended affair with doomed Andy Warhol starlet Edie Sedgwick.",Bob Dylan,Dylan,"May , 1966",Many a true word is spoken in jest,A literal meaning; that the truth is often found in comic utterances.,"Rock-Hewn Churches, Lalibela","<p>The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.</p>",Ethiopia,,Magenta,#FF00FF,https://en.wikipedia.org/wiki/Magenta,mesquite,11th century: Alhazen discovers the formula for the simplicial numbers defined as the sums of consecutive quartic powers.,Cogito ergo sum,https://en.wikipedia.org/wiki/Cogito_ergo_sum
2024-08-07,Camille Pissarro,"Impressionism,Post-Impressionism",https://en.wikipedia.org/wiki/Camille_Pissarro,Camille_Pissarro_5.jpg,Moondance,"The title song of Morrison's first self-produced album started ""as a saxophone solo,"" he said. ""I used to play this sax number over and over, anytime I picked up my horn."" He played the sax solo on this recording, which combined the bucolic charm of his life in Woodstock, New York (""the cover of October skies""), with his love of the sophisticated jazz and R&B of Mose Allison and Ray Charles.",Van Morrison,Morrison,"Feb. , 1970",My bad ,My mistake - I'm to blame. ,Engelsberg Ironworks,<p>Sweden's production of superior grades of iron made it a leader in this field in the 17th and 18th centuries. This site is the best-preserved and most complete example of this type of Swedish ironworks.</p>,Sweden,,Metallic Seaweed,#0A7E8C,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,mossycup white oak,"3rd century BC: Pingala in Mauryan India studies binary numbers, making him the first to study the radix (numerical base) in history.",Cartesian Other,https://en.wikipedia.org/wiki/Cartesian_Other
2024-08-08,Gustav Klimt,"Symbolism,Art Nouveau",http://en.wikipedia.org/wiki/Gustav_Klimt,Gustav_Klimt_4.jpg,Mannish Boy,"After Waters heard Bo Diddley audition ""I'm a Man"" for Chess, he replied with ""Mannish Boy."" (Diddley got a credit as McDaniel, his real name.) Both songs were issued in 1955 and shot into the R&B Top 10. ""When I heard him, I realized the connection between all the music I heard,"" Keith Richards said of Waters. ""He was like the code book.""",Muddy Waters,"McKinley Morganfield, Mel London, Ellas McDaniel","May , 1955",Big fish in a small pond - A,Someone who is important but only within a limited area of influence.,Lines and Geoglyphs of Nasca and Palpa,"<p>Located in the arid Peruvian coastal plain, some 400 km south of Lima, the geoglyphs of Nasca and the pampas of Jumana cover about 450 km<sup>2</sup> . These lines, which were scratched on the surface of the ground between 500 B.C. and A.D. 500, are among archaeology's greatest enigmas because of their quantity, nature, size and continuity. The geoglyphs depict living creatures, stylized plants and imaginary beings, as well as geometric figures several kilometres long. They are believed to have had ritual astronomical functions.</p>",Peru,,Orange-yellow,#F5BD1F,https://en.wikipedia.org/wiki/Marigold_(color)#Orange-yellow,wild hops,1934: Enrico Fermi: Nuclear fission by neutron irradiation,Compossibility,https://en.wikipedia.org/wiki/Compossibility
